#  %C   command line and arguments
#  %c   involuntary context switches
#  %E   elapsed real time (wall clock) in [hour:]min:sec
#  %e   elapsed real time (wall clock) in seconds
#  %F   major page faults
#  %M   maximum resident set size in KB
#  %P   percent of CPU this job got
#  %R   minor page faults
#  %S   system (kernel) time in seconds
#  %U   user time in seconds
#  %w   voluntary context switches
#  %x   exit status of command
# %C ; %c ; %E ; %e ; %F ; %M ; %P ; %R ; %R ; %S ; %U ; %w ; %x
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/category-deps/pyproject.toml tests/_data/infiles/pipenv/category-deps ; 16 ; 0:01.26 ; 1.26 ; 0 ; 34192 ; 99% ; 6674 ; 6674 ; 0.08 ; 1.17 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/default-and-dev/pyproject.toml tests/_data/infiles/pipenv/default-and-dev ; 12 ; 0:01.18 ; 1.18 ; 0 ; 34360 ; 99% ; 6672 ; 6672 ; 0.10 ; 1.08 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/editable-self/pyproject.toml tests/_data/infiles/pipenv/editable-self ; 62 ; 0:01.24 ; 1.24 ; 0 ; 34156 ; 99% ; 6673 ; 6673 ; 0.11 ; 1.12 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/local/pyproject.toml tests/_data/infiles/pipenv/local ; 15 ; 0:01.26 ; 1.26 ; 0 ; 34360 ; 99% ; 6676 ; 6676 ; 0.10 ; 1.15 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/no-deps/pyproject.toml tests/_data/infiles/pipenv/no-deps ; 46 ; 0:01.23 ; 1.23 ; 0 ; 35208 ; 99% ; 6881 ; 6881 ; 0.11 ; 1.12 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/private-packages/pyproject.toml tests/_data/infiles/pipenv/private-packages ; 10 ; 0:01.23 ; 1.23 ; 0 ; 34360 ; 99% ; 6678 ; 6678 ; 0.11 ; 1.11 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-extras/pyproject.toml tests/_data/infiles/pipenv/with-extras ; 35 ; 0:01.40 ; 1.40 ; 0 ; 34440 ; 99% ; 6722 ; 6722 ; 0.12 ; 1.27 ; 1 ; 0
cyclonedx-py pipenv -o /dev/null --pyproject tests/_data/infiles/pipenv/with-urls/pyproject.toml tests/_data/infiles/pipenv/with-urls ; 8 ; 0:01.36 ; 1.36 ; 0 ; 34488 ; 99% ; 6692 ; 6692 ; 0.07 ; 1.28 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock11 ; 27 ; 0:01.41 ; 1.41 ; 0 ; 34608 ; 99% ; 6714 ; 6714 ; 0.10 ; 1.30 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/group-deps/lock20 ; 21 ; 0:01.44 ; 1.44 ; 0 ; 34500 ; 99% ; 6715 ; 6715 ; 0.10 ; 1.33 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock10 ; 46 ; 0:01.28 ; 1.28 ; 0 ; 34064 ; 99% ; 6677 ; 6677 ; 0.10 ; 1.17 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock11 ; 12 ; 0:01.30 ; 1.30 ; 0 ; 34468 ; 99% ; 6681 ; 6681 ; 0.09 ; 1.20 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/local/lock20 ; 20 ; 0:01.29 ; 1.29 ; 0 ; 34332 ; 99% ; 6678 ; 6678 ; 0.11 ; 1.17 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock10 ; 26 ; 0:01.27 ; 1.27 ; 0 ; 34196 ; 99% ; 6706 ; 6706 ; 0.09 ; 1.18 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock11 ; 8 ; 0:01.29 ; 1.29 ; 0 ; 34616 ; 99% ; 6715 ; 6715 ; 0.13 ; 1.15 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock20 ; 14 ; 0:01.30 ; 1.30 ; 0 ; 34336 ; 99% ; 6709 ; 6709 ; 0.10 ; 1.19 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/no-deps/lock20 ; 18 ; 0:01.30 ; 1.30 ; 0 ; 35172 ; 99% ; 6896 ; 6896 ; 0.13 ; 1.16 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock10 ; 11 ; 0:01.24 ; 1.24 ; 0 ; 34464 ; 99% ; 6682 ; 6682 ; 0.10 ; 1.13 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock11 ; 9 ; 0:01.41 ; 1.41 ; 0 ; 34852 ; 99% ; 6793 ; 6793 ; 0.11 ; 1.29 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock20 ; 6 ; 0:01.35 ; 1.35 ; 0 ; 34932 ; 99% ; 6788 ; 6788 ; 0.07 ; 1.28 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/regression-issue611/lock20 ; 7 ; 0:01.19 ; 1.19 ; 0 ; 34456 ; 99% ; 6675 ; 6675 ; 0.12 ; 1.06 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock10 ; 26 ; 0:01.19 ; 1.19 ; 0 ; 34124 ; 99% ; 6704 ; 6704 ; 0.10 ; 1.08 ; 0 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock11 ; 29 ; 0:01.29 ; 1.29 ; 0 ; 34924 ; 99% ; 6834 ; 6834 ; 0.08 ; 1.20 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock20 ; 18 ; 0:01.36 ; 1.36 ; 0 ; 35168 ; 99% ; 6891 ; 6891 ; 0.08 ; 1.27 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock10 ; 12 ; 0:01.42 ; 1.42 ; 0 ; 34464 ; 99% ; 6695 ; 6695 ; 0.12 ; 1.30 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock11 ; 20 ; 0:01.28 ; 1.28 ; 0 ; 34440 ; 99% ; 6694 ; 6694 ; 0.10 ; 1.18 ; 1 ; 0
