#  %C   command line and arguments
#  %c   involuntary context switches
#  %E   elapsed real time (wall clock) in [hour:]min:sec
#  %e   elapsed real time (wall clock) in seconds
#  %F   major page faults
#  %M   maximum resident set size in KB
#  %P   percent of CPU this job got
#  %R   minor page faults
#  %S   system (kernel) time in seconds
#  %U   user time in seconds
#  %w   voluntary context switches
#  %x   exit status of command
# %C ; %c ; %E ; %e ; %F ; %M ; %P ; %R ; %R ; %S ; %U ; %w ; %x
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/main-and-dev/lock20 ; 11 ; 0:01.51 ; 1.51 ; 0 ; 38416 ; 99% ; 7691 ; 7691 ; 0.13 ; 1.37 ; 0 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/no-deps/lock20 ; 17 ; 0:01.47 ; 1.47 ; 0 ; 39284 ; 99% ; 7895 ; 7895 ; 0.11 ; 1.35 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock10 ; 40 ; 0:01.44 ; 1.44 ; 0 ; 38084 ; 99% ; 7683 ; 7683 ; 0.09 ; 1.33 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock11 ; 8 ; 0:01.80 ; 1.80 ; 0 ; 38588 ; 99% ; 7716 ; 7716 ; 0.18 ; 1.62 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/private-packges/lock20 ; 5 ; 0:01.71 ; 1.71 ; 0 ; 38572 ; 99% ; 7714 ; 7714 ; 0.11 ; 1.59 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/regression-issue611/lock20 ; 32 ; 0:01.54 ; 1.54 ; 0 ; 38200 ; 99% ; 7675 ; 7675 ; 0.14 ; 1.39 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock10 ; 9 ; 0:01.45 ; 1.45 ; 0 ; 38500 ; 99% ; 7691 ; 7691 ; 0.13 ; 1.30 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock11 ; 12 ; 0:01.44 ; 1.44 ; 0 ; 38352 ; 99% ; 7696 ; 7696 ; 0.11 ; 1.32 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-extras/lock20 ; 16 ; 0:01.53 ; 1.53 ; 0 ; 39368 ; 99% ; 7916 ; 7916 ; 0.12 ; 1.40 ; 0 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock10 ; 18 ; 0:01.34 ; 1.34 ; 0 ; 38284 ; 99% ; 7680 ; 7680 ; 0.10 ; 1.23 ; 1 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock11 ; 11 ; 0:01.40 ; 1.40 ; 0 ; 38368 ; 99% ; 7684 ; 7684 ; 0.12 ; 1.28 ; 0 ; 0
cyclonedx-py poetry -o /dev/null tests/_data/infiles/poetry/with-urls/lock20 ; 28 ; 0:01.53 ; 1.53 ; 0 ; 38372 ; 99% ; 7685 ; 7685 ; 0.10 ; 1.42 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/frozen.txt ; 10 ; 0:01.48 ; 1.48 ; 0 ; 39136 ; 99% ; 7899 ; 7899 ; 0.13 ; 1.35 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/local.txt ; 12 ; 0:01.61 ; 1.61 ; 0 ; 39176 ; 99% ; 7901 ; 7901 ; 0.16 ; 1.44 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/nested.txt ; 15 ; 0:01.53 ; 1.53 ; 0 ; 39264 ; 99% ; 7900 ; 7900 ; 0.11 ; 1.41 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/private-packages.txt ; 6 ; 0:01.50 ; 1.50 ; 0 ; 39276 ; 99% ; 7895 ; 7895 ; 0.11 ; 1.38 ; 1 ; 0
cyclonedx-py requirements --pyproject tests/_data/infiles/requirements/pyproject.toml -o /dev/null tests/_data/infiles/requirements/with-comments.txt ; 36 ; 0:01.59 ; 1.59 ; 0 ; 39148 ; 99% ; 7900 ; 7900 ; 0.14 ; 1.45 ; 1 ; 0
